Name,2016 WS,2015 WS,2016 MP,2015 MP,2016 G,2015 G,2016 USG,2015 USG,2016 WS/48,2015 WS/48
James Harden,13.3,16.4,3125,2981,82,81,32.5,31.3,0.204,0.265
Trevor Ariza,5.4,6.6,2859,2930,81,82,15.7,16.5,0.09,0.108
Dwight Howard,6.6,3.6,2280,1223,71,41,18.4,23.3,0.138,0.14
Patrick Beverley,4.4,3.5,2041,1727,71,56,15.3,16.1,0.102,0.096
Corey Brewer,1.2,2.1,1669,2087,82,80,17.8,21.6,0.035,0.071
Clint Capela,4.4,0,1471,90,77,12,16.1,21.3,0.144,0.019
Jason Terry,1.5,3.6,1258,1641,72,77,15,14.3,0.057,0.104
Ty Lawson,0.4,7,1176,2665,53,75,14.8,20.6,0.017,0.126
Terrence Jones,1.5,3,1044,889,50,33,19.3,18.4,0.068,0.16
Marcus Thornton,1.3,1.2,885,721,47,48,24.3,24.1,0.072,0.083
Dontas Motiejunas,0.3,4.7,547,2037,37,71,21.4,19.1,0.026,0.11
Josh Smith,-0.4,0.048,2.3,2300,23,83,22.1,24.8,-0.04,0.048
