Name,2017 WS,2016 WS,2017 MP,2016 MP,2017 G,2016 G,2017 USG,2016 USG,2017 WS/48,2016 WS/48
Klay Thompson,7.1,8,2649,2666,78,80,26.1,26.3,0.129,0.144
Stephen Curry,12.6,17.9,2638,2700,79,79,30.1,32.6,0.229,0.318
Draymond Green,8.2,11.1,2471,2808,76,81,16.2,18.8,0.16,0.19
Kevin Durant,12,14.5,2070,2578,62,72,27.8,30.6,0.278,0.27
Andre Iguodala,6.9,4.4,1998,1732,76,65,11.2,12.1,0.167,0.122
Shaun Livingston,2.6,4.6,1345,1520,76,78,13,14.2,0.093,0.145
Zaza Pachulia,4.7,6,1268,2004,70,76,15.3,16.2,0.178,0.145
Ian Clark,2.3,0.9,1137,578,77,66,19.5,19.5,0.099,0.075
Patrick McCaw,1.7,,1074,,71,,11.9,,0.077,
David West,2.6,5.4,854,1404,68,78,17.9,18,0.148,0.184
Javale McGee,3.5,1.1,739,370,77,34,23.8,21.1,0.225,0.146
James McAdoo,1.1,0.8,457,262,52,41,14.6,13.2,0.117,0.146
Kevon Looney,1.4,0.1,21,447,53,5,13.4,16.5,0.155,0.192
