Team,Odds,,W-L O/U,Result
Los Angeles Lakers,140,,58.5,56-26 (under)
San Antonio Spurs,400,,57.5,57-25 (under)
Sacramento Kings,500,,55.5,55-27 (under)
Dallas Mavericks,700,,57.5,52-30 (under)
New Jersey Nets,800,,51.5,47-35 (under)
Minnesota Timberwolves,1200,,54.5,58-24 (over)
Detroit Pistons,1500,,49.5,54-28 (over)
Indiana Pacers,1500,,47.5,61-21 (over)
Philadelphia 76ers,1800,,46.5,33-49 (under)
New Orleans Hornets,1800,,46.5,41-41 (under)
Orlando Magic,2000,,44.5,21-61 (under)
Portland Trail Blazers,2500,,44.5,41-41 (under)
Phoenix Suns,2500,,45.5,29-53 (under)
Houston Rockets,3500,,47.5,45-37 (under)
Toronto Raptors,3500,,38.5,33-49 (under)
Boston Celtics,3500,,43.5,36-46 (under)
New York Knicks,5000,,33.5,39-43 (over)
Seattle SuperSonics,6000,,36.5,37-45 (over)
Miami Heat,6000,,35,42-40 (over)
Atlanta Hawks,6000,,33,28-54 (under)
Washington Wizards,7500,,29.5,25-57 (under)
Milwaukee Bucks,7500,,31.5,41-41 (over)
Cleveland Cavaliers,7500,,29.5,35-47 (over)
Utah Jazz,8000,,25.5,42-40 (over)
Denver Nuggets,10000,,27.5,43-39 (over)
Golden State Warriors,15000,,31.5,37-45 (over)
Chicago Bulls,15000,,36.5,23-59 (under)
Memphis Grizzlies,20000,,31.5,50-32 (over)
Los Angeles Clippers,25000,,30.5,28-54 (under)
